metric,period,value
MarketCap,ttm,6037140000
MarketCap,10/31/2025,8204820000
MarketCap,07/31/2025,7303565100
MarketCap,04/30/2025,7705076990
MarketCap,01/31/2025,11926309880
MarketCap,10/31/2024,8711961250
MarketCap,07/31/2024,8218572750
MarketCap,04/30/2024,8336538540
MarketCap,01/31/2024,11203878270
MarketCap,10/31/2023,6738522880
MarketCap,07/31/2023,7673294300
MarketCap,04/30/2023,4629936310
MarketCap,01/31/2023,7468025040
MarketCap,10/31/2022,7252232840
MarketCap,07/31/2022,8477980000
MarketCap,04/30/2022,7075039708
MarketCap,01/31/2022,9402300880
MarketCap,10/31/2021,16046262915
EnterpriseValue,ttm,5045155000
EnterpriseValue,10/31/2025,7212835000
EnterpriseValue,07/31/2025,6311580100
EnterpriseValue,04/30/2025,6713091990
EnterpriseValue,01/31/2025,11009593880
EnterpriseValue,10/31/2024,7629181250
EnterpriseValue,07/31/2024,7157448750
EnterpriseValue,04/30/2024,7300663540
EnterpriseValue,01/31/2024,10214820270
EnterpriseValue,10/31/2023,5752994880
EnterpriseValue,07/31/2023,6737097300
EnterpriseValue,04/30/2023,3694414310
EnterpriseValue,01/31/2023,6540273040
EnterpriseValue,10/31/2022,6322042840
EnterpriseValue,07/31/2022,7543199000
EnterpriseValue,04/30/2022,6140336708
EnterpriseValue,01/31/2022,8477555880
EnterpriseValue,10/31/2021,15770008915
PeRatio,ttm,485.556
PeRatio,10/31/2025,
PeRatio,07/31/2025,486.778
PeRatio,04/30/2025,
PeRatio,01/31/2025,
PeRatio,10/31/2024,
PeRatio,07/31/2024,
PeRatio,04/30/2024,
PeRatio,01/31/2024,
PeRatio,10/31/2023,
PeRatio,07/31/2023,
PeRatio,04/30/2023,
PeRatio,01/31/2023,
PeRatio,10/31/2022,
PeRatio,07/31/2022,
PeRatio,04/30/2022,
PeRatio,01/31/2022,
PeRatio,10/31/2021,
ForwardPeRatio,ttm,32.258
ForwardPeRatio,10/31/2025,47.847
ForwardPeRatio,07/31/2025,58.48
ForwardPeRatio,04/30/2025,64.935
ForwardPeRatio,01/31/2025,80.645
ForwardPeRatio,10/31/2024,84.034
ForwardPeRatio,07/31/2024,128.205
ForwardPeRatio,04/30/2024,250
ForwardPeRatio,01/31/2024,158.73
ForwardPeRatio,10/31/2023,196.078
ForwardPeRatio,07/31/2023,
ForwardPeRatio,04/30/2023,
ForwardPeRatio,01/31/2023,
ForwardPeRatio,10/31/2022,
ForwardPeRatio,07/31/2022,
ForwardPeRatio,04/30/2022,
ForwardPeRatio,01/31/2022,
ForwardPeRatio,10/31/2021,
PsRatio,ttm,6.537
PsRatio,10/31/2025,9.302
PsRatio,07/31/2025,8.83
PsRatio,04/30/2025,9.871
PsRatio,01/31/2025,16.255
PsRatio,10/31/2024,12.72
PsRatio,07/31/2024,12.836
PsRatio,04/30/2024,13.96
PsRatio,01/31/2024,20.141
PsRatio,10/31/2023,13.02
PsRatio,07/31/2023,16.015
PsRatio,04/30/2023,10.618
PsRatio,01/31/2023,19.188
PsRatio,10/31/2022,21.647
PsRatio,07/31/2022,29.208
PsRatio,04/30/2022,15.13
PsRatio,01/31/2022,41.865
PsRatio,10/31/2021,74.223
PbRatio,ttm,6.543
PbRatio,10/31/2025,9.468
PbRatio,07/31/2025,9.036
PbRatio,04/30/2025,9.93
PbRatio,01/31/2025,16.457
PbRatio,10/31/2024,13.552
PbRatio,07/31/2024,14.473
PbRatio,04/30/2024,14.595
PbRatio,01/31/2024,20.499
PbRatio,10/31/2023,8.599
PbRatio,07/31/2023,10.024
PbRatio,04/30/2023,6.013
PbRatio,01/31/2023,9.781
PbRatio,10/31/2022,9.316
PbRatio,07/31/2022,10.919
PbRatio,04/30/2022,9.132
PbRatio,01/31/2022,11.987
PbRatio,10/31/2021,
EnterprisesValueRevenueRatio,ttm,5.567
EnterprisesValueRevenueRatio,10/31/2025,8.407
EnterprisesValueRevenueRatio,07/31/2025,7.845
EnterprisesValueRevenueRatio,04/30/2025,8.842
EnterprisesValueRevenueRatio,01/31/2025,15.472
EnterprisesValueRevenueRatio,10/31/2024,11.469
EnterprisesValueRevenueRatio,07/31/2024,11.503
EnterprisesValueRevenueRatio,04/30/2024,12.589
EnterprisesValueRevenueRatio,01/31/2024,18.95
EnterprisesValueRevenueRatio,10/31/2023,11.452
EnterprisesValueRevenueRatio,07/31/2023,14.526
EnterprisesValueRevenueRatio,04/30/2023,8.706
EnterprisesValueRevenueRatio,01/31/2023,17.246
EnterprisesValueRevenueRatio,10/31/2022,18.983
EnterprisesValueRevenueRatio,07/31/2022,25.999
EnterprisesValueRevenueRatio,04/30/2022,24.303
EnterprisesValueRevenueRatio,01/31/2022,38.359
EnterprisesValueRevenueRatio,10/31/2021,80.313
EnterprisesValueEBITDARatio,ttm,-32.541
EnterprisesValueEBITDARatio,10/31/2025,
EnterprisesValueEBITDARatio,07/31/2025,
EnterprisesValueEBITDARatio,04/30/2025,
EnterprisesValueEBITDARatio,01/31/2025,
EnterprisesValueEBITDARatio,10/31/2024,
EnterprisesValueEBITDARatio,07/31/2024,
EnterprisesValueEBITDARatio,04/30/2024,
EnterprisesValueEBITDARatio,01/31/2024,-306.54
EnterprisesValueEBITDARatio,10/31/2023,-148.953
EnterprisesValueEBITDARatio,07/31/2023,-128.578
EnterprisesValueEBITDARatio,04/30/2023,-65.316
EnterprisesValueEBITDARatio,01/31/2023,-146.492
EnterprisesValueEBITDARatio,10/31/2022,-113.995
EnterprisesValueEBITDARatio,07/31/2022,-117.901
EnterprisesValueEBITDARatio,04/30/2022,-147.13
EnterprisesValueEBITDARatio,01/31/2022,-214.08
EnterprisesValueEBITDARatio,10/31/2021,-485.844
